,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,5DdWgpzFMgBb8hl0dnEp4W,BOY,TREASURE,YG,2020-08-07,0.753,0.76,6,-6.666,0,0.0482,0.0522,0,0.379,0.69,110.01,196667
1,1JD6I7oJEzv2ezJDHCvwm6,COME TO ME,TREASURE,YG,2020-08-07,0.858,0.777,8,-6.321,0,0.0508,0.208,0,0.161,0.696,104.999,204493
2,3BkJFWBPdKp7e5HokmXv8N,I LOVE YOU,TREASURE,YG,2020-09-18,0.727,0.687,8,-6.57,1,0.0695,0.0107,0,0.16,0.416,130.018,181618
3,3spJFUYWcu7hjQXZ7Ya6sD,B.L.T (BLING LIKE THIS),TREASURE,YG,2020-09-18,0.72,0.785,4,-6.942,0,0.0753,0.044,0,0.345,0.624,127.986,205080
4,56ZYY1cCJmQvcNZhUKhUBP,MMM,TREASURE,YG,2020-11-06,0.765,0.717,1,-6.899,1,0.0914,0.0485,0,0.0643,0.63,79.976,208053
5,4A1Q5wp5wlxtDpmCpwjfPr,ORANGE,TREASURE,YG,2020-11-06,0.771,0.579,1,-7.52,1,0.0302,0.0258,0,0.0922,0.756,129.936,256453
6,2qTBVFldq01eNa40hin4FV,BEAUTIFUL,TREASURE,YG,2021-02-14,0.688,0.705,0,-6.58,1,0.0383,0.0972,0,0.215,0.361,128.037,230947
7,2bnJ8IxZnVc2YmUaX0sZap,JIKJIN,TREASURE,YG,2022-02-15,0.819,0.55,0,-6.57,1,0.0434,0.0367,0,0.0945,0.573,130.077,184118
8,5NIHhuAdsaZHmGeEoHiGY7,U,TREASURE,YG,2022-02-15,0.873,0.537,11,-5.178,1,0.0587,0.211,0,0.292,0.594,115.981,168805
9,0dcnrLo8s1rhjm8euGjI4n,DARARI,TREASURE,YG,2022-02-15,0.716,0.638,0,-6.87,1,0.0392,0.486,0,0.0702,0.552,84.955,220716
10,2ctJxfMEz5NUS7OoG4RFPp,IT’S OKAY,TREASURE,YG,2022-02-15,0.611,0.514,2,-7.017,1,0.0361,0.228,0,0.18,0.365,144.099,220234
11,1ex8euBuzVyqjThnYfwY2k,HELLO,TREASURE,YG,2022-10-04,0.653,0.575,2,-5.432,1,0.0571,0.0315,0,0.0764,0.528,135.015,181433
12,7BooMOppMbKhIRH6zrZUJB,VolKno (CHOI HYUN SUK x YOSHI x HARUTO Unit),TREASURE,YG,2022-10-04,0.704,0.803,1,-5.629,1,0.0399,0.0107,0,0.234,0.604,98.039,195784
13,4LuSCNN7wRs6hqouAkGh9C,CLAP!,TREASURE,YG,2022-10-04,0.732,0.744,8,-6.279,0,0.0475,0.0479,0,0.0727,0.898,79.984,184221
14,41GW9sI7kajNmon5HJGNH9,THANK YOU (ASAHI x HARUTO Unit),TREASURE,YG,2022-10-04,0.5,0.779,1,-5.681,1,0.0449,0.0523,0,0.295,0.55,169.964,195850
15,3i4LLVEBdrk4Bp23OQlcK9,HOLD IT IN,TREASURE,YG,2022-10-04,0.716,0.695,10,-5.925,1,0.0511,0.219,0,0.0508,0.438,130.082,198631
16,16Dklj36BXIa9bY1ZgP7DK,病,TREASURE,YG,2022-11-30,0.779,0.729,11,-3.325,1,0.0329,0.149,0,0.53,0.913,117.969,204615
17,2muMPwLTvz3tnGg5Jz4rjA,Here I Stand,TREASURE,YG,2023-03-27,0.747,0.623,8,-5.272,1,0.0366,0.00436,0,0.1,0.765,129.985,229720
18,7EtNbIeSYjE4PeitHqEHhs,MOVE (T5),TREASURE,YG,2023-06-28,0.674,0.552,10,-6.802,1,0.0906,0.0925,0,0.299,0.307,94.97,208314
19,0IkWksfw3Qxob96bjFKhyF,BONA BONA,TREASURE,YG,2023-07-28,0.722,0.641,5,-5.967,0,0.046,0.0266,0,0.179,0.36,131.943,212902
20,3DroKwwfUSuNPqft7adpVm,I WANT YOUR LOVE,TREASURE,YG,2023-07-28,0.737,0.571,8,-5.808,1,0.0421,0.0287,0,0.103,0.642,128.016,188642
21,0ysmlwFy5XcYm1tVJFaE2U,RUN,TREASURE,YG,2023-07-28,0.56,0.718,2,-6.048,1,0.0576,0.0114,0,0.0931,0.485,169.969,210822
22,6Tb0YsLZ3V6M0EiNobm7Fi,G.O.A.T (RAP Unit),TREASURE,YG,2023-07-28,0.763,0.789,7,-5.197,1,0.104,0.0717,0,0.0667,0.64,99.066,182099
23,5bmDeCYksJWvW95E2rSH2G,STUPID,TREASURE,YG,2023-07-28,0.642,0.723,11,-6.14,1,0.0507,0.0766,0,0.224,0.897,132.952,180353
24,2c42MAkCp7pFbGgJ7xg7xi,THE WAY TO (VOCAL Unit),TREASURE,YG,2023-07-28,0.574,0.318,1,-9.469,0,0.0319,0.677,0,0.107,0.232,139.788,208210
25,6OmHcaaSV2xVENrnL7Ep8v,WONDERLAND,TREASURE,YG,2023-07-28,0.771,0.691,1,-6.327,1,0.0428,0.0961,0,0.558,0.622,117.998,178973
26,4OVdshr1CletoUtcrLE0ZV,B.O.M.B,TREASURE,YG,2023-07-28,0.798,0.847,10,-4.075,1,0.0383,0.258,0,0.0833,0.842,120.024,201251
27,7glixbukBA4wh4yD0d1PM3,LOVESICK,TREASURE,YG,2023-07-28,0.787,0.658,11,-5.61,1,0.0318,0.247,0,0.364,0.961,117.998,204469
28,4Dq2FjRkOTHcssggMdYK8J,MY TREASURE,TREASURE,YG,2021-01-11,0.727,0.75,6,-5.532,1,0.0813,0.114,0,0.137,0.536,107.932,195982
29,782NR6j9LjIfZg4BbCcJdl,BE WITH ME,TREASURE,YG,2021-01-11,0.84,0.412,9,-8.731,1,0.0947,0.424,0,0.161,0.773,106.959,188207
30,0daxn4ZBkfgJdCKqRmiDcT,SLOWMOTION,TREASURE,YG,2021-01-11,0.554,0.583,0,-6.873,1,0.0391,0.266,0,0.257,0.376,165.993,190767
31,6YFzL1910P0fRFh865HmI3,GOING CRAZY,TREASURE,YG,2021-01-11,0.75,0.888,8,-4.885,0,0.0595,0.197,0,0.085,0.808,124.997,224969
